id_ticket,id_producto,cantidad,precio_unitario,nombre,categoria,subcategoria,fecha,id_tienda,id_cliente,venta_total,mes,dia_semana
TICKET_000012,PROD_024,1,3000,Palito de Queso,Alimentos,Panadería Sal,2024-05-13,TOSTAO_12,CUST_01644,3000,May,Monday
TICKET_000013,PROD_010,1,3500,Avena,Bebidas,Frías,2024-07-08,TOSTAO_20,CUST_01401,3500,July,Monday
TICKET_000013,PROD_016,1,2500,Buñuelo,Alimentos,Panadería Sal,2024-07-08,TOSTAO_20,CUST_01401,2500,July,Monday
TICKET_000013,PROD_014,1,3800,Yogurt,Bebidas,Frías,2024-07-08,TOSTAO_20,CUST_01401,3800,July,Monday
TICKET_000014,PROD_021,1,3500,Pastel de Pollo,Alimentos,Panadería Sal,2024-06-13,TOSTAO_12,CUST_01258,3500,June,Thursday
TICKET_000014,PROD_009,1,5000,Jugo de Naranja,Bebidas,Frías,2024-06-13,TOSTAO_12,CUST_01258,5000,June,Thursday
TICKET_000014,PROD_013,1,3500,Té Helado,Bebidas,Frías,2024-06-13,TOSTAO_12,CUST_01258,3500,June,Thursday
TICKET_000015,PROD_003,1,4500,Cappuccino,Bebidas,Calientes,2024-11-13,TOSTAO_12,CUST_00564,4500,November,Wednesday
TICKET_000015,PROD_023,1,3500,Croissant de Queso,Alimentos,Panadería Sal,2024-11-13,TOSTAO_12,CUST_00564,3500,November,Wednesday
TICKET_000016,PROD_001,2,2500,Tinto,Bebidas,Calientes,2024-03-21,TOSTAO_02,CUST_00002,5000,March,Thursday
TICKET_000016,PROD_009,1,5000,Jugo de Naranja,Bebidas,Frías,2024-03-21,TOSTAO_02,CUST_00002,5000,March,Thursday
TICKET_000016,PROD_004,1,4800,Mocaccino,Bebidas,Calientes,2024-03-21,TOSTAO_02,CUST_00002,4800,March,Thursday
TICKET_000017,PROD_031,1,4500,Torta de Chocolate,Alimentos,Panadería Dulce,2024-06-20,TOSTAO_04,CUST_01734,4500,June,Thursday
TICKET_000017,PROD_003,1,4500,Cappuccino,Bebidas,Calientes,2024-06-20,TOSTAO_04,CUST_01734,4500,June,Thursday
TICKET_000017,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-06-20,TOSTAO_04,CUST_01734,3000,June,Thursday
TICKET_000018,PROD_006,1,2500,Aromática,Bebidas,Calientes,2024-04-07,TOSTAO_16,CUST_01931,2500,April,Sunday
TICKET_000019,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-12-14,TOSTAO_19,CUST_01956,3000,December,Saturday
TICKET_000019,PROD_003,1,4500,Cappuccino,Bebidas,Calientes,2024-12-14,TOSTAO_19,CUST_01956,4500,December,Saturday
TICKET_000020,PROD_006,1,2500,Aromática,Bebidas,Calientes,2024-05-07,TOSTAO_11,CUST_00641,2500,May,Tuesday
TICKET_000020,PROD_028,1,2000,Galleta de Chispas,Alimentos,Panadería Dulce,2024-05-07,TOSTAO_11,CUST_00641,2000,May,Tuesday
TICKET_000020,PROD_025,1,3500,Arepa de Choclo,Alimentos,Panadería Sal,2024-05-07,TOSTAO_11,CUST_00641,3500,May,Tuesday
TICKET_000021,PROD_001,1,2500,Tinto,Bebidas,Calientes,2024-09-19,TOSTAO_16,CUST_02394,2500,September,Thursday
TICKET_000021,PROD_015,1,2800,Pan de Bono,Alimentos,Panadería Sal,2024-09-19,TOSTAO_16,CUST_02394,2800,September,Thursday
TICKET_000022,PROD_010,1,3500,Avena,Bebidas,Frías,2024-05-19,TOSTAO_09,CUST_01184,3500,May,Sunday
TICKET_000022,PROD_016,1,2500,Buñuelo,Alimentos,Panadería Sal,2024-05-19,TOSTAO_09,CUST_01184,2500,May,Sunday
TICKET_000022,PROD_032,1,2500,Dona,Alimentos,Panadería Dulce,2024-05-19,TOSTAO_09,CUST_01184,2500,May,Sunday
TICKET_000022,PROD_028,1,2000,Galleta de Chispas,Alimentos,Panadería Dulce,2024-05-19,TOSTAO_09,CUST_01184,2000,May,Sunday
TICKET_000023,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-04-25,TOSTAO_06,CUST_01444,3000,April,Thursday
TICKET_000024,PROD_021,1,3500,Pastel de Pollo,Alimentos,Panadería Sal,2024-04-08,TOSTAO_14,CUST_01920,3500,April,Monday
TICKET_000024,PROD_009,1,5000,Jugo de Naranja,Bebidas,Frías,2024-04-08,TOSTAO_14,CUST_01920,5000,April,Monday
TICKET_000024,PROD_006,1,2500,Aromática,Bebidas,Calientes,2024-04-08,TOSTAO_14,CUST_01920,2500,April,Monday
TICKET_000024,PROD_001,1,2500,Tinto,Bebidas,Calientes,2024-04-08,TOSTAO_14,CUST_01920,2500,April,Monday
TICKET_000025,PROD_020,1,3200,Empanada de Pollo,Alimentos,Panadería Sal,2024-10-03,TOSTAO_08,CUST_01528,3200,October,Thursday
TICKET_000026,PROD_021,1,3500,Pastel de Pollo,Alimentos,Panadería Sal,2024-01-22,TOSTAO_06,CUST_02086,3500,January,Monday
TICKET_000027,PROD_019,1,3200,Empanada de Carne,Alimentos,Panadería Sal,2024-10-03,TOSTAO_15,CUST_02332,3200,October,Thursday
TICKET_000027,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-10-03,TOSTAO_15,CUST_02332,3000,October,Thursday
TICKET_000028,PROD_034,1,6500,Sandwich de Jamón y Queso,Alimentos,Sandwiches,2024-01-04,TOSTAO_12,CUST_00017,6500,January,Thursday
TICKET_000028,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-01-04,TOSTAO_12,CUST_00017,3000,January,Thursday
TICKET_000029,PROD_021,1,3500,Pastel de Pollo,Alimentos,Panadería Sal,2024-08-20,TOSTAO_03,CUST_00302,3500,August,Tuesday
TICKET_000030,PROD_021,1,3500,Pastel de Pollo,Alimentos,Panadería Sal,2024-06-09,TOSTAO_18,CUST_00128,3500,June,Sunday
TICKET_000030,PROD_003,1,4500,Cappuccino,Bebidas,Calientes,2024-06-09,TOSTAO_18,CUST_00128,4500,June,Sunday
TICKET_000031,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-10-14,TOSTAO_02,CUST_01687,3000,October,Monday
TICKET_000031,PROD_025,1,3500,Arepa de Choclo,Alimentos,Panadería Sal,2024-10-14,TOSTAO_02,CUST_01687,3500,October,Monday
TICKET_000032,PROD_031,1,4500,Torta de Chocolate,Alimentos,Panadería Dulce,2024-10-25,TOSTAO_10,CUST_01501,4500,October,Friday
TICKET_000032,PROD_034,1,6500,Sandwich de Jamón y Queso,Alimentos,Sandwiches,2024-10-25,TOSTAO_10,CUST_01501,6500,October,Friday
TICKET_000033,PROD_010,1,3500,Avena,Bebidas,Frías,2024-11-08,TOSTAO_01,CUST_00020,3500,November,Friday
TICKET_000033,PROD_016,1,2500,Buñuelo,Alimentos,Panadería Sal,2024-11-08,TOSTAO_01,CUST_00020,2500,November,Friday
TICKET_000034,PROD_021,1,3500,Pastel de Pollo,Alimentos,Panadería Sal,2024-11-17,TOSTAO_19,CUST_01983,3500,November,Sunday
TICKET_000034,PROD_009,1,5000,Jugo de Naranja,Bebidas,Frías,2024-11-17,TOSTAO_19,CUST_01983,5000,November,Sunday
TICKET_000035,PROD_001,1,2500,Tinto,Bebidas,Calientes,2024-06-28,TOSTAO_11,CUST_01078,2500,June,Friday
TICKET_000035,PROD_015,1,2800,Pan de Bono,Alimentos,Panadería Sal,2024-06-28,TOSTAO_11,CUST_01078,2800,June,Friday
TICKET_000036,PROD_002,1,3500,Café con Leche,Bebidas,Calientes,2024-04-17,TOSTAO_06,CUST_01220,3500,April,Wednesday
TICKET_000036,PROD_017,1,2800,Almojábana,Alimentos,Panadería Sal,2024-04-17,TOSTAO_06,CUST_01220,2800,April,Wednesday
TICKET_000036,PROD_004,1,4800,Mocaccino,Bebidas,Calientes,2024-04-17,TOSTAO_06,CUST_01220,4800,April,Wednesday
TICKET_000037,PROD_001,1,2500,Tinto,Bebidas,Calientes,2024-05-23,TOSTAO_10,CUST_00636,2500,May,Thursday
TICKET_000037,PROD_015,1,2800,Pan de Bono,Alimentos,Panadería Sal,2024-05-23,TOSTAO_10,CUST_00636,2800,May,Thursday
TICKET_000038,PROD_001,1,2500,Tinto,Bebidas,Calientes,2024-02-27,TOSTAO_09,CUST_00741,2500,February,Tuesday
TICKET_000039,PROD_019,1,3200,Empanada de Carne,Alimentos,Panadería Sal,2024-08-26,TOSTAO_16,CUST_01142,3200,August,Monday
TICKET_000039,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-08-26,TOSTAO_16,CUST_01142,3000,August,Monday
TICKET_000039,PROD_024,1,3000,Palito de Queso,Alimentos,Panadería Sal,2024-08-26,TOSTAO_16,CUST_01142,3000,August,Monday
TICKET_000040,PROD_010,1,3500,Avena,Bebidas,Frías,2024-03-09,TOSTAO_03,CUST_02295,3500,March,Saturday
TICKET_000040,PROD_016,1,2500,Buñuelo,Alimentos,Panadería Sal,2024-03-09,TOSTAO_03,CUST_02295,2500,March,Saturday
TICKET_000041,PROD_016,1,2500,Buñuelo,Alimentos,Panadería Sal,2024-08-07,TOSTAO_14,CUST_01009,2500,August,Wednesday
TICKET_000042,PROD_019,1,3200,Empanada de Carne,Alimentos,Panadería Sal,2024-08-05,TOSTAO_07,CUST_02389,3200,August,Monday
TICKET_000042,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-08-05,TOSTAO_07,CUST_02389,3000,August,Monday
TICKET_000042,PROD_023,1,3500,Croissant de Queso,Alimentos,Panadería Sal,2024-08-05,TOSTAO_07,CUST_02389,3500,August,Monday
TICKET_000043,PROD_002,1,3500,Café con Leche,Bebidas,Calientes,2024-10-16,TOSTAO_01,CUST_02490,3500,October,Wednesday
TICKET_000043,PROD_017,1,2800,Almojábana,Alimentos,Panadería Sal,2024-10-16,TOSTAO_01,CUST_02490,2800,October,Wednesday
TICKET_000043,PROD_034,1,6500,Sandwich de Jamón y Queso,Alimentos,Sandwiches,2024-10-16,TOSTAO_01,CUST_02490,6500,October,Wednesday
TICKET_000043,PROD_031,1,4500,Torta de Chocolate,Alimentos,Panadería Dulce,2024-10-16,TOSTAO_01,CUST_02490,4500,October,Wednesday
TICKET_000044,PROD_001,1,2500,Tinto,Bebidas,Calientes,2024-06-08,TOSTAO_12,CUST_01688,2500,June,Saturday
TICKET_000044,PROD_015,1,2800,Pan de Bono,Alimentos,Panadería Sal,2024-06-08,TOSTAO_12,CUST_01688,2800,June,Saturday
TICKET_000044,PROD_034,1,6500,Sandwich de Jamón y Queso,Alimentos,Sandwiches,2024-06-08,TOSTAO_12,CUST_01688,6500,June,Saturday
TICKET_000045,PROD_003,1,4500,Cappuccino,Bebidas,Calientes,2024-11-18,TOSTAO_10,CUST_01192,4500,November,Monday
TICKET_000045,PROD_023,1,3500,Croissant de Queso,Alimentos,Panadería Sal,2024-11-18,TOSTAO_10,CUST_01192,3500,November,Monday
TICKET_000045,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-11-18,TOSTAO_10,CUST_01192,3000,November,Monday
TICKET_000046,PROD_001,2,2500,Tinto,Bebidas,Calientes,2024-03-30,TOSTAO_02,CUST_01626,5000,March,Saturday
TICKET_000046,PROD_023,1,3500,Croissant de Queso,Alimentos,Panadería Sal,2024-03-30,TOSTAO_02,CUST_01626,3500,March,Saturday
TICKET_000047,PROD_031,1,4500,Torta de Chocolate,Alimentos,Panadería Dulce,2024-08-04,TOSTAO_10,CUST_00676,4500,August,Sunday
TICKET_000047,PROD_013,1,3500,Té Helado,Bebidas,Frías,2024-08-04,TOSTAO_10,CUST_00676,3500,August,Sunday
TICKET_000047,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-08-04,TOSTAO_10,CUST_00676,3000,August,Sunday
TICKET_000048,PROD_001,1,2500,Tinto,Bebidas,Calientes,2024-04-05,TOSTAO_12,CUST_00037,2500,April,Friday
TICKET_000049,PROD_010,1,3500,Avena,Bebidas,Frías,2024-09-29,TOSTAO_16,CUST_00596,3500,September,Sunday
TICKET_000049,PROD_016,1,2500,Buñuelo,Alimentos,Panadería Sal,2024-09-29,TOSTAO_16,CUST_00596,2500,September,Sunday
TICKET_000050,PROD_017,1,2800,Almojábana,Alimentos,Panadería Sal,2024-08-20,TOSTAO_07,CUST_00265,2800,August,Tuesday
TICKET_000051,PROD_029,1,3000,Muffin de Chocolate,Alimentos,Panadería Dulce,2024-05-23,TOSTAO_20,CUST_00396,3000,May,Thursday
TICKET_000052,PROD_035,1,7500,Sandwich de Pollo,Alimentos,Sandwiches,2024-02-26,TOSTAO_07,CUST_01066,7500,February,Monday
TICKET_000053,PROD_031,2,4500,Torta de Chocolate,Alimentos,Panadería Dulce,2024-08-02,TOSTAO_12,CUST_00751,9000,August,Friday
TICKET_000054,PROD_003,1,4500,Cappuccino,Bebidas,Calientes,2024-06-22,TOSTAO_09,CUST_02218,4500,June,Saturday
TICKET_000055,PROD_002,1,3500,Café con Leche,Bebidas,Calientes,2024-06-13,TOSTAO_13,CUST_01520,3500,June,Thursday
TICKET_000055,PROD_017,1,2800,Almojábana,Alimentos,Panadería Sal,2024-06-13,TOSTAO_13,CUST_01520,2800,June,Thursday
TICKET_000055,PROD_021,1,3500,Pastel de Pollo,Alimentos,Panadería Sal,2024-06-13,TOSTAO_13,CUST_01520,3500,June,Thursday
TICKET_000055,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-06-13,TOSTAO_13,CUST_01520,3000,June,Thursday
TICKET_000056,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-09-08,TOSTAO_12,CUST_02493,3000,September,Sunday
TICKET_000057,PROD_006,1,2500,Aromática,Bebidas,Calientes,2024-06-21,TOSTAO_20,CUST_01244,2500,June,Friday
TICKET_000057,PROD_008,1,3200,Tinto Grande,Bebidas,Calientes,2024-06-21,TOSTAO_20,CUST_01244,3200,June,Friday
TICKET_000058,PROD_021,1,3500,Pastel de Pollo,Alimentos,Panadería Sal,2024-07-09,TOSTAO_01,CUST_00824,3500,July,Tuesday
TICKET_000058,PROD_020,1,3200,Empanada de Pollo,Alimentos,Panadería Sal,2024-07-09,TOSTAO_01,CUST_00824,3200,July,Tuesday
TICKET_000058,PROD_011,1,2500,Agua Manantial,Bebidas,Frías,2024-07-09,TOSTAO_01,CUST_00824,2500,July,Tuesday
TICKET_000059,PROD_010,1,3500,Avena,Bebidas,Frías,2024-03-20,TOSTAO_05,CUST_00203,3500,March,Wednesday
TICKET_000059,PROD_023,1,3500,Croissant de Queso,Alimentos,Panadería Sal,2024-03-20,TOSTAO_05,CUST_00203,3500,March,Wednesday
TICKET_000060,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-01-14,TOSTAO_03,CUST_01397,3000,January,Sunday
TICKET_000061,PROD_019,1,3200,Empanada de Carne,Alimentos,Panadería Sal,2024-11-25,TOSTAO_06,CUST_00968,3200,November,Monday
TICKET_000061,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-11-25,TOSTAO_06,CUST_00968,3000,November,Monday
TICKET_000062,PROD_025,1,3500,Arepa de Choclo,Alimentos,Panadería Sal,2024-03-30,TOSTAO_05,CUST_00540,3500,March,Saturday
TICKET_000062,PROD_019,1,3200,Empanada de Carne,Alimentos,Panadería Sal,2024-03-30,TOSTAO_05,CUST_00540,3200,March,Saturday
TICKET_000063,PROD_034,1,6500,Sandwich de Jamón y Queso,Alimentos,Sandwiches,2024-07-30,TOSTAO_13,CUST_00925,6500,July,Tuesday
TICKET_000063,PROD_026,1,3500,Rollo de Canela,Alimentos,Panadería Dulce,2024-07-30,TOSTAO_13,CUST_00925,3500,July,Tuesday
TICKET_000064,PROD_019,1,3200,Empanada de Carne,Alimentos,Panadería Sal,2024-10-29,TOSTAO_18,CUST_00010,3200,October,Tuesday
TICKET_000064,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-10-29,TOSTAO_18,CUST_00010,3000,October,Tuesday
TICKET_000065,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-03-05,TOSTAO_17,CUST_01263,3000,March,Tuesday
TICKET_000065,PROD_024,1,3000,Palito de Queso,Alimentos,Panadería Sal,2024-03-05,TOSTAO_17,CUST_01263,3000,March,Tuesday
TICKET_000065,PROD_031,2,4500,Torta de Chocolate,Alimentos,Panadería Dulce,2024-03-05,TOSTAO_17,CUST_01263,9000,March,Tuesday
TICKET_000066,PROD_001,1,2500,Tinto,Bebidas,Calientes,2024-04-07,TOSTAO_01,CUST_00511,2500,April,Sunday
TICKET_000066,PROD_035,2,7500,Sandwich de Pollo,Alimentos,Sandwiches,2024-04-07,TOSTAO_01,CUST_00511,15000,April,Sunday
TICKET_000067,PROD_019,1,3200,Empanada de Carne,Alimentos,Panadería Sal,2024-01-23,TOSTAO_10,CUST_00714,3200,January,Tuesday
TICKET_000067,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-01-23,TOSTAO_10,CUST_00714,3000,January,Tuesday
TICKET_000068,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-02-20,TOSTAO_01,CUST_01470,3000,February,Tuesday
TICKET_000069,PROD_010,1,3500,Avena,Bebidas,Frías,2024-03-12,TOSTAO_02,CUST_00250,3500,March,Tuesday
TICKET_000069,PROD_016,1,2500,Buñuelo,Alimentos,Panadería Sal,2024-03-12,TOSTAO_02,CUST_00250,2500,March,Tuesday
TICKET_000069,PROD_020,2,3200,Empanada de Pollo,Alimentos,Panadería Sal,2024-03-12,TOSTAO_02,CUST_00250,6400,March,Tuesday
TICKET_000070,PROD_001,1,2500,Tinto,Bebidas,Calientes,2024-08-09,TOSTAO_16,CUST_02449,2500,August,Friday
TICKET_000070,PROD_026,1,3500,Rollo de Canela,Alimentos,Panadería Dulce,2024-08-09,TOSTAO_16,CUST_02449,3500,August,Friday
TICKET_000071,PROD_003,2,4500,Cappuccino,Bebidas,Calientes,2024-04-12,TOSTAO_02,CUST_00764,9000,April,Friday
TICKET_000071,PROD_023,1,3500,Croissant de Queso,Alimentos,Panadería Sal,2024-04-12,TOSTAO_02,CUST_00764,3500,April,Friday
TICKET_000072,PROD_004,1,4800,Mocaccino,Bebidas,Calientes,2024-11-03,TOSTAO_10,CUST_01359,4800,November,Sunday
TICKET_000072,PROD_034,1,6500,Sandwich de Jamón y Queso,Alimentos,Sandwiches,2024-11-03,TOSTAO_10,CUST_01359,6500,November,Sunday
TICKET_000073,PROD_013,1,3500,Té Helado,Bebidas,Frías,2024-11-25,TOSTAO_05,CUST_01876,3500,November,Monday
TICKET_000074,PROD_001,1,2500,Tinto,Bebidas,Calientes,2024-05-05,TOSTAO_15,CUST_01907,2500,May,Sunday
TICKET_000075,PROD_035,1,7500,Sandwich de Pollo,Alimentos,Sandwiches,2024-01-08,TOSTAO_03,CUST_01720,7500,January,Monday
TICKET_000076,PROD_021,1,3500,Pastel de Pollo,Alimentos,Panadería Sal,2024-03-01,TOSTAO_18,CUST_01029,3500,March,Friday
TICKET_000076,PROD_009,1,5000,Jugo de Naranja,Bebidas,Frías,2024-03-01,TOSTAO_18,CUST_01029,5000,March,Friday
TICKET_000077,PROD_006,1,2500,Aromática,Bebidas,Calientes,2024-08-20,TOSTAO_14,CUST_01969,2500,August,Tuesday
TICKET_000077,PROD_028,1,2000,Galleta de Chispas,Alimentos,Panadería Dulce,2024-08-20,TOSTAO_14,CUST_01969,2000,August,Tuesday
TICKET_000078,PROD_026,1,3500,Rollo de Canela,Alimentos,Panadería Dulce,2024-08-01,TOSTAO_11,CUST_02398,3500,August,Thursday
TICKET_000079,PROD_031,1,4500,Torta de Chocolate,Alimentos,Panadería Dulce,2024-10-18,TOSTAO_03,CUST_00625,4500,October,Friday
TICKET_000079,PROD_003,1,4500,Cappuccino,Bebidas,Calientes,2024-10-18,TOSTAO_03,CUST_00625,4500,October,Friday
TICKET_000079,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-10-18,TOSTAO_03,CUST_00625,3000,October,Friday
TICKET_000080,PROD_018,1,2800,Pan de Yuca,Alimentos,Panadería Sal,2024-08-03,TOSTAO_19,CUST_00526,2800,August,Saturday
TICKET_000080,PROD_019,1,3200,Empanada de Carne,Alimentos,Panadería Sal,2024-08-03,TOSTAO_19,CUST_00526,3200,August,Saturday
TICKET_000081,PROD_001,2,2500,Tinto,Bebidas,Calientes,2024-09-30,TOSTAO_15,CUST_01907,5000,September,Monday
TICKET_000082,PROD_002,1,3500,Café con Leche,Bebidas,Calientes,2024-09-29,TOSTAO_12,CUST_00126,3500,September,Sunday
TICKET_000082,PROD_017,1,2800,Almojábana,Alimentos,Panadería Sal,2024-09-29,TOSTAO_12,CUST_00126,2800,September,Sunday
TICKET_000083,PROD_003,1,4500,Cappuccino,Bebidas,Calientes,2024-08-20,TOSTAO_04,CUST_02159,4500,August,Tuesday
TICKET_000083,PROD_023,1,3500,Croissant de Queso,Alimentos,Panadería Sal,2024-08-20,TOSTAO_04,CUST_02159,3500,August,Tuesday
TICKET_000083,PROD_020,1,3200,Empanada de Pollo,Alimentos,Panadería Sal,2024-08-20,TOSTAO_04,CUST_02159,3200,August,Tuesday
TICKET_000084,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-02-11,TOSTAO_20,CUST_01542,3000,February,Sunday
TICKET_000085,PROD_002,1,3500,Café con Leche,Bebidas,Calientes,2024-12-30,TOSTAO_06,CUST_01313,3500,December,Monday
TICKET_000086,PROD_031,1,4500,Torta de Chocolate,Alimentos,Panadería Dulce,2024-12-15,TOSTAO_03,CUST_01161,4500,December,Sunday
TICKET_000086,PROD_033,1,1500,Chocolatina,Alimentos,Panadería Dulce,2024-12-15,TOSTAO_03,CUST_01161,1500,December,Sunday
TICKET_000086,PROD_021,1,3500,Pastel de Pollo,Alimentos,Panadería Sal,2024-12-15,TOSTAO_03,CUST_01161,3500,December,Sunday
TICKET_000087,PROD_021,1,3500,Pastel de Pollo,Alimentos,Panadería Sal,2024-03-15,TOSTAO_17,CUST_00646,3500,March,Friday
TICKET_000087,PROD_020,2,3200,Empanada de Pollo,Alimentos,Panadería Sal,2024-03-15,TOSTAO_17,CUST_00646,6400,March,Friday
TICKET_000088,PROD_001,1,2500,Tinto,Bebidas,Calientes,2024-06-21,TOSTAO_04,CUST_02374,2500,June,Friday
TICKET_000088,PROD_015,1,2800,Pan de Bono,Alimentos,Panadería Sal,2024-06-21,TOSTAO_04,CUST_02374,2800,June,Friday
TICKET_000088,PROD_026,1,3500,Rollo de Canela,Alimentos,Panadería Dulce,2024-06-21,TOSTAO_04,CUST_02374,3500,June,Friday
TICKET_000089,PROD_003,1,4500,Cappuccino,Bebidas,Calientes,2024-05-21,TOSTAO_11,CUST_01829,4500,May,Tuesday
TICKET_000090,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-06-09,TOSTAO_10,CUST_02040,3000,June,Sunday
TICKET_000091,PROD_006,1,2500,Aromática,Bebidas,Calientes,2024-05-09,TOSTAO_05,CUST_01343,2500,May,Thursday
TICKET_000092,PROD_019,1,3200,Empanada de Carne,Alimentos,Panadería Sal,2024-04-03,TOSTAO_12,CUST_01605,3200,April,Wednesday
TICKET_000092,PROD_007,1,4500,Latte,Bebidas,Calientes,2024-04-03,TOSTAO_12,CUST_01605,4500,April,Wednesday
TICKET_000092,PROD_002,1,3500,Café con Leche,Bebidas,Calientes,2024-04-03,TOSTAO_12,CUST_01605,3500,April,Wednesday
TICKET_000093,PROD_029,1,3000,Muffin de Chocolate,Alimentos,Panadería Dulce,2024-10-22,TOSTAO_08,CUST_01856,3000,October,Tuesday
TICKET_000094,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-10-17,TOSTAO_19,CUST_02053,3000,October,Thursday
TICKET_000095,PROD_031,1,4500,Torta de Chocolate,Alimentos,Panadería Dulce,2024-08-24,TOSTAO_08,CUST_02450,4500,August,Saturday
TICKET_000095,PROD_003,1,4500,Cappuccino,Bebidas,Calientes,2024-08-24,TOSTAO_08,CUST_02450,4500,August,Saturday
TICKET_000096,PROD_001,1,2500,Tinto,Bebidas,Calientes,2024-12-18,TOSTAO_01,CUST_02191,2500,December,Wednesday
TICKET_000096,PROD_015,1,2800,Pan de Bono,Alimentos,Panadería Sal,2024-12-18,TOSTAO_01,CUST_02191,2800,December,Wednesday
TICKET_000096,PROD_002,1,3500,Café con Leche,Bebidas,Calientes,2024-12-18,TOSTAO_01,CUST_02191,3500,December,Wednesday
TICKET_000097,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-04-13,TOSTAO_06,CUST_01971,3000,April,Saturday
TICKET_000098,PROD_035,1,7500,Sandwich de Pollo,Alimentos,Sandwiches,2024-01-15,TOSTAO_20,CUST_01313,7500,January,Monday
TICKET_000099,PROD_021,1,3500,Pastel de Pollo,Alimentos,Panadería Sal,2024-04-06,TOSTAO_01,CUST_00951,3500,April,Saturday
TICKET_000100,PROD_015,1,2800,Pan de Bono,Alimentos,Panadería Sal,2024-11-25,TOSTAO_15,CUST_01933,2800,November,Monday
